order_id,order_number,order_item_id,item_name,quantity,invoiced_quantity,mrp,price_per_unit,amount,discount_amount,profit
75213,SO/24-25/56728,150424,Prakash Maida,1,1,1760,1660,1760,100,0
93303,SO/24-25/74596,183163,Ruchi Gold Palm Pouch(1L),1,1,1390,1290,1390,100,10
83233,SO/24-25/64673,164922,Aashirwad Chakki Atta (5kg),1,1,1390,1302,1390,88,0
99969,SO/24-25/80983,194991,Prakash Aata,1,1,1700,1590,1700,110,-10
78703,SO/24-25/60171,156657,Maharaja Chakki Aata,1,1,1700,1545,1700,155,-25
78703,SO/24-25/60171,156658,Soyum Soya Pouch,1,1,1600,1536,1600,64,0
93303,SO/24-25/74596,183164,Tata Salt Pkt(1Kg),2,2,29.4,28,58.8,2.8,1.8
70550,SO/24-25/52142,141746,Rath Vanaspati Ghee Tin(15Kg),2,2,2629,2405,5258,448,0
70550,SO/24-25/52142,141747,Double Filter Sugar,5,5,2399,2215,11995,920,0
88230,SO/24-25/69634,173854,Tata Salt Pkt(1Kg),5,5,1380,1260,6900,600,-25
84555,SO/24-25/65978,167312,Prakash Aata,1,1,1740,1590,1740,150,-60
78705,SO/24-25/60172,156661,Maharaja Chakki Aata,4,4,1700,1545,6800,620,-100
131948,SO/24-25/111149,249577,DCM Double Filter Sugar,2,2,2380,2280,4760,200,-20
83231,SO/24-25/64671,164919,Anchal Vanaspati Ghee Pouch,4,4,147,135,588,48,-10
78702,SO/24-25/60164,156655,Ruchi Gold Palm Pouch(1L),2,2,1380,1285,2760,190,-6
83231,SO/24-25/64671,164920,Rajdhani Barik Besan,5,5,106.857,100,534.29,34.29,1.43
133671,SO/24-25/112766,252419,Prakash Aata,15,15,1600,1520,24000,1200,-1200
118906,SO/24-25/99142,227173,Kezar Maida,1,1,1760,1700,1760,60,0
71206,SO/24-25/52822,143175,Ajwain,2,2,290,290,580,0,20
84610,SO/24-25/66046,167418,Laal Gulaab Maida,1,1,1751,1670,1751,81,5
74341,SO/24-25/55886,148956,Ruchi Gold Palm Pouch(1L),4,4,1310,1205,5240,420,-140
78702,SO/24-25/60164,156656,Anchal Vanaspati Ghee Pouch,1,0,2880,2680,2880,200,-10
71206,SO/24-25/52822,143176,Chhoti Saunf,2,2,350,330,700,40,20
117658,SO/24-25/97719,225040,Laal Mirch Sabut,2,2,84.969,74,169.94,21.94,-1.94
88230,SO/24-25/69634,173855,Fortune Kacchi Ghani Bottle (2L),5,5,2088,1860,10440,1140,-275
88230,SO/24-25/69634,173856,Fortune Kacchi Ghani Bottle(1L),5,5,2073,1860,10365,1065,-155
117658,SO/24-25/97719,225041,Ruchi Gold Palm Pouch(1L),1,1,1350,1290,1350,60,-30
88229,SO/24-25/69635,173853,Ruchi Soyabadi,1,1,91.05,90,91.05,1.05,6
70295,SO/24-25/51870,141291,Fortune Soya Tin(15L),20,20,2150,2060,43000,1800,-400
78863,SO/24-25/60352,156949,Soyum Soya Pouch,1,1,1500,1440,1500,60,-36
117658,SO/24-25/97719,225042,Laal Gulaab Suji/Rava,5,5,40.183,36,200.92,20.92,-12.58
71206,SO/24-25/52822,143177,soda,1,1,60,60,60,0,0
74437,SO/24-25/55958,149108,Bawarchi Vanaspati Balti KG,2,2,2270,2120,4540,300,-60
84525,SO/24-25/65935,167250,Shreshtha Aata,6,6,1710,1610,10260,600,0
70294,SO/24-25/51874,141290,Fortune Soya Tin(15L),10,10,2150,2030,21500,1200,-500
117755,SO/24-25/97745,225199,Shudh Mustard Oil Bottle(2L),5,5,1623,1480,8115,715,-150
78709,SO/24-25/60173,156666,Matar,10,10,54,50,540,40,0
74437,SO/24-25/55958,149109,Fortune Soya Pouch(1L),1,1,2355,2190,2355,165,-40
78709,SO/24-25/60173,156667,Prakash Maida,5,5,38.292,36,191.46,11.46,-1.04
74437,SO/24-25/55958,149110,Normal Sugar,10,10,2190,2080,21900,1100,200
84525,SO/24-25/65935,167251,Prakash Maida,6,6,1790,1700,10740,540,0
110938,SO/24-25/91420,213708,Shreshtha Aata,3,3,37.761,35,113.28,8.28,-0.78
126183,SO/24-25/105664,239527,Prakash Maida,4,4,1920,1780,7680,560,-80
104582,SO/24-25/85351,202950,Tata Salt Pkt(1Kg),1,1,1406,1265,1406,141,0
93303,SO/24-25/74596,183166,Parivar Pasand Chakki Aata (50kg),25,25,36.4,35,910,35,25
88023,SO/24-25/69456,173486,Bail Kolhu Pouch,5,5,1550,1470,7750,400,25
88023,SO/24-25/69456,173487,Fortune Soya Pouch(1L),2,2,2495,2320,4990,350,-80
70292,SO/24-25/51875,141287,Shreshtha Aata,2,2,1710,1550,3420,320,-40
70292,SO/24-25/51875,141288,Hari Patti(Green) Rice,2,2,2740,2160,5480,1160,-840
93303,SO/24-25/74596,183167,Shri Ram maida (50kg),10,10,39.4,35,394,44,-8
70287,SO/24-25/51877,141280,Shreshtha Aata,13,13,1710,1543,22230,2171,-351
117729,SO/24-25/97729,225156,Gauri Rice,10,10,3245,2880,32450,3650,-1350
70575,SO/24-25/52154,141779,Matar,2,2,58.667,50,117.33,17.33,0
70575,SO/24-25/52154,141780,Prakash Aata,1,1,37.042,34,37.04,3.04,-0.75
70575,SO/24-25/52154,141781,Prakash Maida,3,3,37.667,35,113,8,-1.75
70575,SO/24-25/52154,141782,Riceman Jeera Rice,1,1,61.158,57,61.16,4.16,-0.83
70290,SO/24-25/51876,141284,Ganesh Maida,1,1,1760,1620,1760,140,-30
70290,SO/24-25/51876,141285,Bawarchi Vanaspati Pouch,1,1,2280,2115,2280,165,-15
110938,SO/24-25/91420,213709,Ruchi Gold Palm Pouch(1L),1,1,1380,1300,1380,80,-20
87833,SO/24-25/69242,173125,Fortune Soya Tin(15L),2,2,2270,2120,4540,300,-80
89388,SO/24-25/70766,176003,Medium Chhola,5,5,142.15,136,710.75,30.75,24.25
71206,SO/24-25/52822,143185,Agni Tata Tea,20,20,47,45,940,40,0
83243,SO/24-25/64677,164940,Shreshtha Aata,1,1,1710,1585,1710,125,-25
98747,SO/24-25/79844,192835,Steam Rice,30,30,55,47,1650,240,-150
70298,SO/24-25/51871,141301,Fortune Soya Tin(15L),3,3,2150,2037.5,6450,337.5,-127.5
70298,SO/24-25/51871,141302,Ganesh Maida,3,3,1760,1620,5280,420,-90
70298,SO/24-25/51871,141303,DCM Double Filter Sugar,8,8,2300,2130,18400,1360,-240
70575,SO/24-25/52154,141783,Fortune Soya Pouch(1L),2,2,144.75,138,289.5,13.5,-4.75
78713,SO/24-25/60175,156672,Ruchi Gold Palm Pouch(1L),2,2,1380,1285,2760,190,-6
78713,SO/24-25/60175,156673,Arrarot,5,5,52.4,47,262,27,-5
78713,SO/24-25/60175,156674,Siddhi Vinayak Maida,5,5,40.6,37,203,18,-11
70297,SO/24-25/51873,141297,Prakash Aata,5,5,37.042,34,185.21,15.21,-3.75
70297,SO/24-25/51873,141298,Normal Sugar,5,5,52.38,43,261.9,46.9,-10.9
71206,SO/24-25/52822,143186,Dhania Sabut,3,3,140,125,420,45,-45
71206,SO/24-25/52822,143187,Laal Mirch Sabut,3,3,280,280,840,0,45
70297,SO/24-25/51873,141299,Bawarchi Vanaspati Pouch,2,2,150.609,135,301.22,31.22,-12.47
70297,SO/24-25/51873,141296,Prakash Maida,10,0,37.667,36,376.67,16.67,4.17
70297,SO/24-25/51873,141300,Saccha Heera Chhola,2,0,160.333,136,320.67,48.67,0
87833,SO/24-25/69242,173127,Soyum Soya (15Lit),5,5,2170,1960,10850,1050,-400
87833,SO/24-25/69242,173128,Mahakosh Soya Oil Tin(15L),2,2,2090,2000,4180,180,0
87833,SO/24-25/69242,173129,Bail Kolhu Pouch,5,5,1550,1470,7750,400,25
87833,SO/24-25/69242,173130,Prakash Maida,1,1,1768,1660,1768,108,-10
70299,SO/24-25/51872,141304,Tata Salt Pkt(1Kg),2,2,761.1,715,1522.2,92.2,-92.2
87833,SO/24-25/69242,173126,Bail Kolhu Mustard Jar,2,1,2240,2240,4480,0,200
131948,SO/24-25/111149,249578,Soyum Soya (15Lit),2,2,2100,1960,4200,280,-80
88224,SO/24-25/69631,173841,Soyum Soya Pouch,12,12,143.917,129,1727,179,-111
117755,SO/24-25/97745,225200,Parivar Mustard Bottle(500ml),5,5,1930,1786,9650,720,-25
88232,SO/24-25/69636,173859,Soyum Soya Pouch,24,24,143.917,128,3454.01,382.01,-246
88265,SO/24-25/69678,173907,SAPNA GOLD MAIDA,4,4,2000,1760,8000,960,-240
83246,SO/24-25/64698,164947,Prakash Maida,1,1,1768,1670,1768,98,0
79849,SO/24-25/61281,158658,Prakash Maida,1,1,1788,1680,1788,108,-10
93255,SO/24-25/74526,183070,Bail Kolhu Mustard Jar,1,1,2330,2180,2330,150,-20
78711,SO/24-25/60174,156670,Ruchi Gold Palm Pouch(1L),40,40,1380,1265,55200,4600,-600
74652,SO/24-25/56180,149499,Ruchi Gold Palm Pouch(1L),50,50,1273,1170,63650,5150,150
78714,SO/24-25/60176,156675,Ruchi Gold Palm Pouch(1L),60,60,1380,1265,82800,6900,-780
99967,SO/24-25/80986,194989,Shreshtha Aata,3,3,1710,1565,5130,435,-105
117755,SO/24-25/97745,225201,Fortune Kacchi Ghani Bottle(1L),5,5,2045,1830,10225,1075,-385
79849,SO/24-25/61281,158659,Prakash Aata,1,1,1730,1620,1730,110,-15
88226,SO/24-25/69632,173843,Kezar Maida,2,2,38.769,36,77.54,5.54,-1.37
78715,SO/24-25/60177,156676,Ruchi Gold Palm Pouch(1L),40,30,1380,1265,55200,4600,-600
70296,SO/24-25/51869,141292,Ambey Chakki Aata,2,2,1805,1640,3610,330,0
70296,SO/24-25/51869,141293,Siddhi Vinayak Mill Aata,2,2,1880,1750,3760,260,-40
70296,SO/24-25/51869,141294,Parivar Mustard Bottle(2L),1,1,2039,1870,2039,169,0
88226,SO/24-25/69632,173844,Kezar Aata,2,2,36.438,34,72.88,4.88,-1.96
70296,SO/24-25/51869,141295,Shudh Mustard Oil Bottle (1L),1,1,1799,1640,1799,159,-10
83352,SO/24-25/64782,165132,Ruchi Gold Palm Pouch(1L),30,30,1368,1262,41040,3180,-150
79857,SO/24-25/61278,158668,Prakash Maida,3,3,1790,1690,5370,300,-30
88226,SO/24-25/69632,173845,Soyum Soya Pouch,3,3,143.917,129,431.75,44.75,-27.75
84609,SO/24-25/66044,167417,Prakash Aata,1,1,1693,1560,1693,133,-40
70291,SO/24-25/51868,141286,Mahakosh Soya Oil Pouch(1L),2,2,1639,1499,3278,280,0
99964,SO/24-25/80987,194986,Kezar Aata,1,1,1650,1540,1650,110,-40
88226,SO/24-25/69632,173846,Hari Patti(Green) Rice,2,0,100,85,200,30,-16
83242,SO/24-25/64683,164938,Parivar Mustard Bottle(1L),1,1,1970,1825,1970,145,-5
70303,SO/24-25/51880,141311,Ganesh Maida,10,10,38.995,36,389.95,29.95,-7.03
83242,SO/24-25/64683,164939,Parivar Mustard Jar(5L),1,1,1645,1521,1645,124,-16
70302,SO/24-25/51879,141310,Kovila Maida,1,1,1830,1640,1830,190,-10
112335,SO/24-25/92734,216157,Prakash Aata,1,1,1700,1600,1700,100,-30
70276,SO/24-25/51852,141268,Gauri Old Rice,2,2,4130,3780,8260,700,0
83238,SO/24-25/64676,164928,Ruchi Gold Palm Pouch(1L),3,3,1350,1290,4050,180,-60
74148,SO/24-25/55685,148623,Double Chabhi Rice,1,1,112.3,105,112.3,7.3,0
71236,SO/24-25/52800,143256,Normal Sugar,1,1,2240,2100,2240,140,-20
70304,SO/24-25/51881,141312,Normal Sugar,3,3,2460,2090,7380,1110,-30
70304,SO/24-25/51881,141313,Shreshtha Aata,2,2,1710,1550,3420,320,-40
74148,SO/24-25/55685,148624,Single Filter Sugar,1,1,49.18,45,49.18,4.18,-0.98
70282,SO/24-25/51865,141274,Rauza Double Filter Sugar,2,2,2300,2145,4600,310,-10
70567,SO/24-25/52148,141770,Riceman Jeera Rice,1,1,1560,1500,1560,60,-60
74148,SO/24-25/55685,148625,Arrarot,2,2,52.4,48,104.8,8.8,0
74148,SO/24-25/55685,148626,Ruchi Gold Palm Pouch(1L),2,2,133.55,122,267.1,23.1,-6.1
70289,SO/24-25/51864,141282,SAPNA GOLD MAIDA,1,1,2000,1760,2000,240,5
70289,SO/24-25/51864,141283,Rauza Double Filter Sugar,1,1,2300,2145,2300,155,-5
83238,SO/24-25/64676,164929,Kezar Maida,1,1,1760,1650,1760,110,-10
69923,SO/24-25/51561,140571,Safed Matar Dal,3,3,1600,1410,4800,570,0
69923,SO/24-25/51561,140572,Tiger Arhar Dal,1,1,2950,2760,2950,190,0
99960,SO/24-25/80988,194981,Kezar Aata,2,2,1650,1535,3300,230,-90
88259,SO/24-25/69735,173898,Aashirwad Chakki Atta (10kg),15,15,1390,1269,20850,1815,15
84570,SO/24-25/65999,167333,Prakash Aata,1,1,1693,1600,1693,93,0
83235,SO/24-25/64678,164925,Ruchi Gold Palm Pouch(1L),1,1,1350,1310,1350,40,0
99960,SO/24-25/80988,194982,Kezar Maida,1,1,1760,1645,1760,115,-15
94440,SO/24-25/75725,185084,Laal Gulaab Maida,2,2,1731,1660,3462,142,-20
74132,SO/24-25/55686,148593,Ruchi Gold Palm Pouch(1L),1,1,1265,1180,1265,85,0
131945,SO/24-25/111147,249572,DCM Double Filter Sugar,1,1,2380,2280,2380,100,-10
88235,SO/24-25/69640,173863,Prakash Maida,2,2,1768,1675,3536,186,10
98702,SO/24-25/79803,192756,Vibhor Soya Pouch(1L),1,1,1485,1435,1485,50,10
